--- SCT FPS vs. *detected* object count (10 imgs × 100 reps) ---
objects | samples | FPS mean |  FPS std
---------------------------------------------
      0 |    1000 |    37.76 |     3.27
      1 |    1000 |    16.06 |     6.71
      2 |    1000 |    10.97 |     1.09
      3 |    1000 |     9.80 |     1.62
      4 |    1000 |     8.16 |     1.34
      5 |    1000 |     7.28 |     1.48
      6 |    1000 |     4.77 |     0.49
      7 |    1000 |     5.96 |     0.65
      8 |    1000 |     5.00 |     0.55
      9 |    1000 |     4.38 |     0.22
     10 |    1000 |     4.62 |     0.38
     11 |    1000 |     3.15 |     0.26
     12 |    1000 |     2.82 |     0.31
     13 |    1000 |     3.73 |     0.39
     14 |    1000 |     2.64 |     0.35
     15 |    1000 |     3.45 |     0.45
     16 |    1000 |     3.21 |     0.40
     17 |    1000 |     3.00 |     0.48
     18 |    1000 |     2.86 |     0.35
     19 |    1000 |     1.88 |     0.16
     20 |    1000 |     1.75 |     0.25
     21 |    1000 |     2.49 |     0.29
     22 |     900 |     2.50 |     0.38
     23 |    1000 |     2.42 |     0.22
     24 |     900 |     1.75 |     0.18
     25 |     700 |     2.02 |     0.15
     26 |     900 |     1.99 |     0.33
     27 |     500 |     1.99 |     0.13
     28 |     400 |     1.80 |     0.07
     29 |     200 |     1.70 |     0.10
     30 |     200 |     1.63 |     0.11


--- SCT FPS vs. *detected* object count (10 imgs × 10 reps) ---
objects | samples | FPS mean |  FPS std
---------------------------------------------
      0 |     100 |    35.25 |     3.19
      1 |     100 |    15.56 |     5.67
      2 |     100 |     7.44 |     0.84
      3 |     100 |     8.86 |     2.17
      4 |     100 |     5.44 |     0.77
      5 |     100 |     6.43 |     1.73
      6 |     100 |     6.06 |     0.67
      7 |     100 |     5.77 |     0.58
      8 |     100 |     4.75 |     0.48
      9 |     100 |     4.15 |     0.29
     10 |     100 |     4.20 |     0.31
